level,playerid,year,teamName,LeagueName,lastname,firstname,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,place,colleges,draft_Year,draft_Round,draft_overall,draft_teamabbr,status,teamname,CurrentTeam,X,check
1,BJohns844,2011,Covington Jacks,Valley League,Johnson,Brandon,2,4,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.2,0.2,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,BJohns844,2017,So Cal Bombers,Southern California League,Johnson,Brandon,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0.5,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,KWilli932,2010,AC Nitros,New York Collegiate,Williams,Kyle,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,KWilli932,2018,Yuba Sutter Gold Sox,Great West League,Williams,Kyle,5,19,1,4,1,0,0,2,0,2,3,0,5,0,0,0,0,0.211,0.263,0.318,0.581,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,PGarci955,2010,Derby Twins,Jayhawk League,Garcia,P.J.,0,78,0,25,4,0,7,12,0,0,0,0,0,0,0,0,0,0.321,0.641,0,0.641,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,PGarci955,2011,Haysville Heat,Jayhawk League,Garcia,P.J.,0,115,0,34,10,0,1,23,0,0,0,0,0,0,0,0,0,0.296,0.409,0,0.409,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,PGarci955,2014,Winter Garden Squeeze,Florida Collegiate League,Garcia,P.J.,16,38,5,8,0,0,0,2,0,1,2,0,3,3,0,0,0,0.211,0.211,0.25,0.461,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,PGarci955,2015,Winter Garden Squeeze,Florida Collegiate League,Garcia,P.J.,28,87,6,19,0,0,0,3,2,2,6,0,17,4,0,2,0,0.218,0.218,0.284,0.502,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,NGarci1005,2011,Glendale Angelenos,California Collegiate League,Garcia,Nick,29,73,13,21,6,0,1,9,7,2,10,0,12,2,0,0,0,0.288,0.411,0.373,0.784,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,NGarci1005,2018,Onondaga Flames,New York Collegiate,Garcia,Nick,16,36,9,13,2,1,0,3,2,0,7,0,12,0,0,0,0,0.361,0.472,0.465,0.937,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JRamir1015,2011,Gastonia Grizzlies,Coastal Plain League,Ramirez,Joe,36,125,16,32,4,0,2,11,5,1,9,0,23,4,1,0,0,0.256,0.336,0.304,0.64,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JRamir1015,2019,SoCal Stros,Southern California League,Ramirez,Joe,23,64,7,11,4,0,0,4,0,0,11,0,20,0,0,2,0,0.172,0.234,0.312,0.546,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BJohns1049,2011,Woodstock Bandits,Valley League,Johnson,Bobby,40,154,15,40,5,2,1,22,1,2,13,0,32,1,1,4,1,0.26,0.338,0.331,0.669,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,BJohns1049,2018,Southern Ohio Copperheads,Great Lakes Collegiate League,Johnson,Bobby,15,51,11,11,2,0,0,8,0,0,5,0,8,0,0,4,3,0.216,0.255,0.333,0.588,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,CMorri1150,2011,Riverhead Tomcats,Atlantic Collegiate,Morris,Chase,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,CMorri1150,2016,Texas Marshals,Texas Collegiate League,Morris,Chase,2,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,CMorri1150,2017,Texas Marshals,Texas Collegiate League,Morris,Chase,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MWhite1206,2011,Alaska Fire,Alaska Summer League,White,Michael,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MWhite1206,2013,High Point-Thomasville HiToms,Coastal Plain League,White,Michael,26,86,16,27,5,0,4,12,5,1,8,0,20,0,0,3,0,0.314,0.512,0.392,0.904,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MWhite1206,2017,Oneonta Outlaws,Perfect Game League,White,Michael,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MPerez1214,2011,Rockbridge Rapids,Valley League,Perez,Mike,18,46,5,9,1,0,2,7,0,0,8,0,13,0,0,1,0,0.196,0.348,0.327,0.675,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MPerez1214,2018,Portland Pickles,West Coast League,Perez,Mike,41,146,32,35,9,0,5,20,2,2,14,0,25,2,3,4,2,0.24,0.404,0.317,0.721,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,ATaylo1268,2011,Niagara Power,New York Collegiate,Taylor,Adam,44,162,20,45,4,3,1,25,13,0,14,0,10,3,3,0,1,0.278,0.358,0.33,0.688,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,ATaylo1268,2012,Niagara Power,New York Collegiate,Taylor,Adam,40,148,31,47,4,5,4,28,14,3,12,0,26,1,3,3,2,0.318,0.493,0.373,0.866,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
